Timestamp,rms
4/16/26 0:23,1550.93
4/16/26 0:23,1189.65
4/16/26 0:23,5131.72
4/16/26 0:23,9224.48
4/16/26 0:23,1632.64
4/16/26 0:23,1465.08
4/16/26 0:23,1474.51
4/16/26 0:23,629.56
4/16/26 0:23,1565.27
4/16/26 0:23,1196.41
4/16/26 0:23,1310.89
4/16/26 0:23,1528.11
4/16/26 0:23,1259.56
4/16/26 0:23,1782.52
4/16/26 0:23,962.95
4/16/26 0:23,2399.1
4/16/26 0:23,1130.85
4/16/26 0:23,3174.41
4/16/26 0:23,1705.4
4/16/26 0:23,1589.58
4/16/26 0:23,1798.29
4/16/26 0:23,1263.3
4/16/26 0:23,1399.58
4/16/26 0:23,2269.5
4/16/26 0:23,992.4
4/16/26 0:23,1427.02
4/16/26 0:23,1935.55
4/16/26 0:23,1770.31
4/16/26 0:23,1259.58
4/16/26 0:23,4262.56
4/16/26 0:23,1458.62
4/16/26 0:23,1665.41
4/16/26 0:23,1529.73
4/16/26 0:23,1559.99
4/16/26 0:23,1349.61
4/16/26 0:23,2182.62
4/16/26 0:23,1445.76
4/16/26 0:23,1452.81
4/16/26 0:23,1659.9
4/16/26 0:23,1165.4
4/16/26 0:23,1418.3
4/16/26 0:23,1503.17
4/16/26 0:23,2216.7
4/16/26 0:23,2626.55
4/16/26 0:23,7182.74
4/16/26 0:23,2053.42
4/16/26 0:23,1895.03
4/16/26 0:23,1793.14
4/16/26 0:23,1465.28
4/16/26 0:23,1465.48
4/16/26 0:23,1906.19
4/16/26 0:23,1886.11
4/16/26 0:23,2176.65
4/16/26 0:23,1475.7
4/16/26 0:23,1786.64
4/16/26 0:23,900.75
4/16/26 0:23,1055.94
4/16/26 0:23,2736.82
4/16/26 0:23,1353.74
4/16/26 0:23,1087.17
4/16/26 0:23,1323.95
4/16/26 0:23,3258.52
4/16/26 0:23,1535.41
4/16/26 0:23,1366.1
4/16/26 0:23,797.4
4/16/26 0:23,936.08
4/16/26 0:23,1459.27
4/16/26 0:23,1234.41
4/16/26 0:23,1324.42
4/16/26 0:23,1313.79
4/16/26 0:23,2775.17
4/16/26 0:23,1088.81
4/16/26 0:23,3704.93
4/16/26 0:23,1220.57
4/16/26 0:23,1110.58
4/16/26 0:23,919.29
4/16/26 0:23,1902.58
4/16/26 0:23,1515.77
4/16/26 0:23,3757.12
4/16/26 0:23,4236.45
4/16/26 0:23,1440.62
4/16/26 0:23,1559.27
4/16/26 0:23,1461.39
4/16/26 0:23,1881.29
4/16/26 0:23,1783.34
4/16/26 0:23,2154.18
4/16/26 0:23,3687.86
4/16/26 0:23,1442.06
4/16/26 0:23,2589.74
4/16/26 0:23,1310.02
4/16/26 0:23,1703.76
4/16/26 0:23,1887.48
4/16/26 0:23,1770.22
4/16/26 0:23,1369.92
4/16/26 0:23,1625.48
4/16/26 0:23,1199.18
4/16/26 0:23,1748.92
4/16/26 0:23,1391.08
4/16/26 0:23,2530.34
4/16/26 0:23,1688.17
4/16/26 0:23,1819.57
4/16/26 0:23,1213.63
4/16/26 0:23,1222.58
4/16/26 0:23,4500.5
4/16/26 0:23,2701.36
4/16/26 0:23,1520.72
4/16/26 0:23,1333.37
4/16/26 0:23,2124.57
4/16/26 0:23,1763.9
4/16/26 0:23,2450.89
4/16/26 0:23,1319.94
4/16/26 0:23,2280.4
4/16/26 0:23,3254.8
4/16/26 0:23,1395.1
4/16/26 0:23,1748.9
4/16/26 0:23,1366.84
4/16/26 0:23,1874.53
4/16/26 0:23,1285.69
4/16/26 0:23,879.27
4/16/26 0:23,1136.16
4/16/26 0:23,1146.11
4/16/26 0:23,2988.48
4/16/26 0:23,1150.17
4/16/26 0:23,1191.81
4/16/26 0:23,2582.96
4/16/26 0:23,1544.19
4/16/26 0:23,1644.69
4/16/26 0:23,1696.81
4/16/26 0:23,2312.78
4/16/26 0:23,4301.33
4/16/26 0:23,3711.64
4/16/26 0:23,2787.98
4/16/26 0:23,1863.4
4/16/26 0:23,1747.48
4/16/26 0:23,1997.8
4/16/26 0:23,3882.97
4/16/26 0:24,1672.93
4/16/26 0:24,901.97
4/16/26 0:24,1177.99
4/16/26 0:24,1242.95
4/16/26 0:24,1014.14
4/16/26 0:24,1732.38
4/16/26 0:24,2010.97
4/16/26 0:24,1413.48
4/16/26 0:24,1442.53
4/16/26 0:24,956.22
4/16/26 0:24,1920.61
4/16/26 0:24,1099.32
4/16/26 0:24,1674.35
4/16/26 0:24,1863.69
4/16/26 0:24,1559.8
4/16/26 0:24,2438.74
4/16/26 0:24,1252.98
4/16/26 0:24,1979.8
4/16/26 0:24,1190.94
4/16/26 0:24,1646.14
4/16/26 0:24,1460.45
4/16/26 0:24,1840.89
4/16/26 0:24,1995.38
4/16/26 0:24,2280.96
4/16/26 0:24,1098.38
4/16/26 0:24,1204.14
4/16/26 0:24,1235.28
4/16/26 0:24,1735.39
4/16/26 0:24,1169.4
4/16/26 0:24,824.89
4/16/26 0:24,1025.39
4/16/26 0:24,2359.41
4/16/26 0:24,911.54
4/16/26 0:24,1083.7
4/16/26 0:24,1071.02
4/16/26 0:24,1576.62
4/16/26 0:24,1270.47
4/16/26 0:24,1598.28
4/16/26 0:24,1086.28
4/16/26 0:24,2413.75
4/16/26 0:24,2849.11
4/16/26 0:24,5413.42
4/16/26 0:24,1556.44
4/16/26 0:24,1799.07
4/16/26 0:24,1368.93
4/16/26 0:24,1010.71
4/16/26 0:24,885.93
4/16/26 0:24,1469.73
4/16/26 0:24,1208.42
4/16/26 0:24,1099.98
4/16/26 0:24,1348.17
4/16/26 0:24,1365.79
4/16/26 0:24,1057.71
4/16/26 0:24,1161.33
4/16/26 0:24,1685.34
4/16/26 0:24,1190.18
4/16/26 0:24,1430.69
4/16/26 0:24,1282.68
4/16/26 0:24,2246.09
4/16/26 0:24,1153.8
4/16/26 0:24,1216.94
4/16/26 0:24,3558.43
4/16/26 0:24,1727.54
4/16/26 0:24,959.4
4/16/26 0:24,1207.02
4/16/26 0:24,1469.99
4/16/26 0:24,1335.86
4/16/26 0:24,1287.25
4/16/26 0:24,1637.44
4/16/26 0:24,2266.18
4/16/26 0:24,3581.26
4/16/26 0:24,2957.25
4/16/26 0:24,2301.88
4/16/26 0:24,2250.74
4/16/26 0:24,1459.97
4/16/26 0:24,2328.99
4/16/26 0:24,2569.68
4/16/26 0:24,1397.53
4/16/26 0:24,1109.03
4/16/26 0:24,2039.46
4/16/26 0:24,6166.06
4/16/26 0:24,1193.29
4/16/26 0:24,1609.63
4/16/26 0:24,21079.94
4/16/26 0:24,1391.18
4/16/26 0:24,33722.08
4/16/26 0:24,1868.87
4/16/26 0:24,1539.6
4/16/26 0:24,1036.86
4/16/26 0:24,1797.96
4/16/26 0:24,2713.82
4/16/26 0:24,1591.27
4/16/26 0:24,1620.28
4/16/26 0:24,2356.43
4/16/26 0:24,1550.67
4/16/26 0:24,1200
4/16/26 0:24,1164.07
4/16/26 0:24,1446.8
4/16/26 0:24,1054.36
4/16/26 0:24,6505.81
4/16/26 0:24,4869.51
4/16/26 0:24,1352.99
4/16/26 0:24,1298.31
4/16/26 0:24,2004.43
